AMDuProfPcm Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Name:,AMD EPYC 7473X 24-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System:,Family(0x19) Model(0x1) Stepping(0x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating System:,Linux 6.8.0-85-generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Sockets :,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Core Complexes(CCX) :,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Cores :,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Threads :,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled in HW:,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled by OS :,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU Topology:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socket, CCX, Core(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69,52.12,0.09,99.7,0.3,3744.34,0.33,0.32,0.56,3.07,3.08,1.77,1.03,0,220.63,30.14,0,0,0.09,0.61,456.39,43.29,492.67,79.16,51.09,23.54,7.39,9.49,0.81,7.42,1.27,68.48,42.2,20.11,6.12,12700519,3333468,26.25,820.65,0.62,0.41,0.21
1.68,51.1,0.8,96.87,3.13,3743.48,0.31,0.3,0.62,3.27,3.32,1.61,0.96,0,220.25,30.22,0,0,0.09,0.6,447.87,42.24,489.61,82.93,48.17,22.96,7.72,5.3,2.05,1.92,1.33,76.16,48.59,21.13,6.39,13479708,3400624,25.23,850.13,0.58,0.36,0.21
1.72,50.45,2.82,91.05,8.95,3743.68,0.32,0.3,0.53,3.17,3.3,1.88,1.04,0,224.25,27.84,0,0,0.09,0.61,454.88,42.94,492.76,82.56,51.46,23.49,7.42,3.63,1.09,1.47,1.07,78.03,49.75,21.87,6.35,12848000,3483743,27.12,854.26,0.56,0.35,0.21
1.68,51.3,0.51,96.98,3.02,3743.94,0.31,0.3,0.95,3.24,3.31,1.05,0.96,0,223.35,30.27,0,0,0.1,0.6,434.91,45.66,491.62,82.84,52.45,23.36,7.49,3.97,1.14,1.63,1.21,77.51,49.41,21.76,6.28,12619346,3440512,27.26,879.49,0.6,0.38,0.21
1.65,51.05,0.22,99.37,0.63,3744.69,0.31,0.31,0.44,3.26,3.26,2.25,0.94,0,220.63,30.26,0,0,0.1,0.61,454.47,43.3,492.93,80.31,50.91,23.24,7.03,2.95,0.54,1.28,1.13,77.5,49.5,22.04,5.9,12284225,3154433,25.68,862.08,0.56,0.35,0.21
1.67,51.34,0.11,99.59,0.41,3744.26,0.3,0.3,0.57,3.29,3.3,1.76,0.94,0,220.6,30.38,0,0,0.09,0.61,453.35,42.55,492.17,83.18,50.92,23.18,7.73,4.5,1.53,1.77,1.2,76.67,48.66,21.43,6.53,12724053,3451151,27.12,840.93,0.58,0.37,0.21
1.74,50.65,2.04,92.59,7.41,3747.25,0.31,0.3,0.6,3.2,3.33,1.67,1.03,0,222.2,27.97,0,0,0.1,0.61,456.04,43.92,491.78,82.88,41.84,26.31,7.34,4.86,1.9,1.89,1.07,68.96,43.3,19.34,6.28,13721612,3641951,26.54,914.03,0.59,0.38,0.21
1.66,50.77,0.29,99.57,0.43,3744.32,0.31,0.31,0.24,3.27,3.26,4.25,0.93,0,221.44,28.85,0,0,0.09,0.61,454.06,43.1,492.61,82.17,51.04,24.87,7.42,3.98,1.34,1.5,1.13,77.7,49.58,21.78,6.28,12237163,3292176,26.9,848.36,0.58,0.37,0.21
1.65,51.18,0.07,99.6,0.4,3744.02,0.31,0.31,0.84,3.27,3.27,1.19,0.93,0,220,30.21,0,0,0.1,0.61,455.77,43.95,491.91,80.4,51.42,23.66,8.98,5.73,1.16,1.66,2.92,76.33,48.98,21.25,6.06,12093264,3273091,27.07,870.56,0.57,0.36,0.21
1.7,51.66,0.88,93.89,6.11,3744.41,0.32,0.3,1.16,3.17,3.32,0.86,1.02,0,221.07,30.19,0,0,0.1,0.61,457.12,45.1,493.99,83.16,51.77,23.74,7.59,4.78,1.76,1.69,1.33,78.15,49.79,22.06,6.26,12039784,3404352,28.28,865.17,0.57,0.35,0.21
