99.96,0.34,99.23,0.13,99.87,4875.9,1.55,0.57,1.56,0.64,1.74,0.64,90.53,0,168.55,0.32,0.11,0,0.01,0.09,25.52,0.37,669.48,0.4,0.06,0.22,0.12,0.1,0,0.01,0.09,0.29,0.06,0.21,0.02,10796557,8803756,81.54,97.62
99.96,0.31,99.25,0.12,99.88,4875.9,1.56,0.59,1.56,0.64,1.71,0.64,90.59,0,168.57,0.32,0.11,0,0.02,0.09,25.6,0.39,669.56,0.4,0.07,0.22,0.12,0.1,0,0.01,0.09,0.3,0.06,0.22,0.02,11229265,8933525,79.56,97.84
99.96,0.3,99.26,0.12,99.88,4875.84,1.56,0.59,1.56,0.64,1.7,0.64,90.6,0,168.55,0.32,0.11,0,0.01,0.09,25.56,0.37,669.6,0.41,0.06,0.22,0.12,0.11,0.01,0.01,0.09,0.29,0.06,0.21,0.02,10813761,8818003,81.54,97.54
99.96,0.36,99.21,0.13,99.87,4875.67,1.56,0.57,1.56,0.64,1.76,0.64,90.55,0,168.56,0.32,0.11,0,0.01,0.09,25.59,0.38,669.57,0.4,0.06,0.22,0.12,0.1,0,0.01,0.09,0.3,0.06,0.21,0.02,11208828,8908666,79.48,97.8
99.96,0.32,99.25,0.12,99.88,4875.78,1.56,0.58,1.56,0.64,1.74,0.64,90.56,0,168.57,0.32,0.11,0,0.02,0.09,25.69,0.39,669.52,0.4,0.06,0.22,0.12,0.1,0,0.01,0.09,0.3,0.06,0.22,0.02,11026979,8846039,80.22,97.9
99.96,0.3,99.27,0.11,99.89,4873.27,1.56,0.59,1.56,0.64,1.69,0.64,90.55,0,168.56,0.32,0.11,0,0.02,0.09,25.71,0.4,669.43,0.41,0.07,0.22,0.12,0.1,0.01,0.01,0.09,0.3,0.06,0.22,0.03,10977290,8862770,80.74,97.75
99.96,1.01,98.55,0.42,99.58,4866.61,1.55,0.64,1.56,0.65,1.56,0.64,90.04,0,167.74,0.37,0.15,0,0.02,0.09,25.86,0.51,669.07,0.83,0.21,0.38,0.22,0.21,0.01,0.02,0.19,0.55,0.19,0.33,0.03,23137214,19985283,86.38,110.76
99.96,1.05,98.52,0.52,99.48,4868.23,1.54,0.77,1.55,0.65,1.3,0.65,89.44,0,168.12,0.47,0.12,0,0.04,0.13,34.7,1.52,671.32,1.4,0.85,0.35,0.18,0.17,0.01,0.02,0.14,1.17,0.83,0.3,0.03,18142369,15073814,83.09,110.48
99.95,11.02,88.35,4.67,95.33,4874.14,1.42,0.6,1.52,0.7,1.68,0.66,82.42,0,156.02,1.27,0.6,0,0.07,0.07,24.51,1.69,678.1,5.68,1.18,2.66,1.4,1.53,0.05,0.17,1.31,3.41,1.13,2.18,0.1,161650625,146406847,90.57,180.03
99.96,4.92,94.63,3.43,96.57,4874.49,1.43,0.99,1.45,0.7,1.01,0.69,83.03,0,165.66,2.02,0.13,0,0.08,0.2,63.1,4.74,687,4.32,3.32,0.69,0.3,0.28,0.02,0.02,0.24,3.94,3.29,0.6,0.06,30168534,23166820,76.79,115.35
99.96,0.52,99.05,0.2,99.8,4875.4,1.42,0.56,1.43,0.7,1.8,0.7,82.9,0,167.65,1.69,0.08,0,0.08,0.21,65.33,5.05,691.02,3.72,3.55,0.17,0.03,0.03,0,0.01,0.02,3.7,3.53,0.16,0.01,4658329,2952104,63.37,101.02
99.96,0.44,99.13,0.17,99.83,4875.16,1.42,0.56,1.43,0.7,1.8,0.7,82.93,0,167.64,1.68,0.08,0,0.08,0.21,65.26,5.01,691.02,3.74,3.54,0.17,0.03,0.04,0.01,0.01,0.02,3.73,3.56,0.16,0.01,4593616,2925284,63.68,101.45
99.96,0.42,99.15,0.17,99.83,4875.18,1.42,0.58,1.43,0.7,1.73,0.7,82.96,0,167.64,1.68,0.08,0,0.08,0.21,65.35,4.99,690.88,3.75,3.54,0.17,0.03,0.04,0.01,0.01,0.02,3.72,3.55,0.17,0.01,4516053,2849318,63.09,100.94
99.96,0.43,99.14,0.17,99.83,4872.05,1.42,0.57,1.43,0.7,1.74,0.7,82.89,0,167.65,1.68,0.08,0,0.08,0.21,65.58,5.03,690.6,3.75,3.55,0.17,0.03,0.03,0,0.01,0.02,3.7,3.54,0.16,0.01,4485569,2790344,62.21,101.08
99.96,0.44,99.12,0.18,99.82,4868.78,1.42,0.57,1.43,0.7,1.77,0.7,82.83,0,167.66,1.69,0.08,0,0.08,0.21,65.54,5.03,690.72,3.75,3.54,0.17,0.03,0.03,0,0.01,0.02,3.71,3.54,0.16,0.01,4574339,2796874,61.14,100.31
99.96,0.41,99.15,0.17,99.83,4869.25,1.42,0.57,1.43,0.7,1.76,0.7,82.83,0,167.64,1.68,0.08,0,0.08,0.21,65.3,5,690.76,3.75,3.55,0.17,0.03,0.03,0,0,0.02,3.71,3.54,0.16,0.01,4512663,2877569,63.77,100.76
99.96,0.41,99.15,0.17,99.83,4864.74,1.42,0.57,1.43,0.7,1.74,0.7,82.76,0,167.65,1.68,0.08,0,0.08,0.21,65.64,5.05,690.64,3.78,3.58,0.17,0.03,0.04,0.01,0.01,0.02,3.76,3.59,0.16,0.01,4657872,2801700,60.15,99.8
99.96,0.42,99.14,0.17,99.83,4863.73,1.42,0.56,1.43,0.7,1.77,0.7,82.74,0,167.64,1.69,0.08,0,0.08,0.21,65.65,5.05,690.52,3.76,3.54,0.17,0.03,0.04,0.01,0.01,0.02,3.75,3.58,0.16,0.01,4691104,2849324,60.74,100.56
99.96,0.46,99.11,0.19,99.81,4855.36,1.42,0.57,1.43,0.7,1.76,0.7,82.58,0,167.66,1.68,0.08,0,0.08,0.21,65.76,5.03,690.51,3.76,3.59,0.18,0.03,0.04,0.01,0.01,0.02,3.74,3.57,0.16,0.01,4475922,2768014,61.84,101.5
99.96,0.41,99.15,0.16,99.84,4861.6,1.42,0.57,1.43,0.7,1.76,0.7,82.72,0,167.66,1.68,0.08,0,0.08,0.22,65.92,5.04,690.37,3.77,3.59,0.18,0.03,0.03,0,0.01,0.02,3.73,3.57,0.16,0.01,4872551,2905526,59.63,100.31
99.96,0.42,99.14,0.17,99.83,4855.67,1.42,0.57,1.43,0.7,1.76,0.7,82.61,0,167.64,1.68,0.08,0,0.08,0.21,65.74,5.03,690.6,3.76,3.58,0.18,0.03,0.04,0,0.01,0.02,3.73,3.56,0.16,0.01,4443860,2777305,62.5,101.03
99.96,0.42,99.15,0.17,99.83,4857.01,1.42,0.59,1.43,0.7,1.69,0.7,82.64,0,167.64,1.68,0.08,0,0.08,0.22,65.84,5.06,690.4,3.76,3.56,0.17,0.03,0.03,0,0.01,0.02,3.74,3.57,0.16,0.01,4549953,2775048,60.99,102.22
99.96,0.41,99.16,0.17,99.83,4855.6,1.42,0.59,1.43,0.7,1.7,0.7,82.63,0,167.64,1.68,0.08,0,0.08,0.21,65.69,5.03,690.61,3.74,3.54,0.17,0.03,0.03,0,0,0.02,3.71,3.54,0.16,0.01,4407560,2761382,62.65,101.54
99.96,0.4,99.16,0.16,99.84,4853.34,1.42,0.58,1.43,0.7,1.74,0.7,82.57,0,167.66,1.68,0.08,0,0.08,0.21,65.56,5.05,690.5,3.75,3.54,0.17,0.03,0.03,0,0.01,0.02,3.7,3.54,0.16,0.01,4473694,2772310,61.97,100.35
99.96,0.42,99.14,0.17,99.83,4851.31,1.42,0.58,1.43,0.7,1.72,0.7,82.52,0,167.65,1.67,0.07,0,0.08,0.21,65.74,5.04,690.38,3.77,3.56,0.17,0.03,0.04,0,0.01,0.02,3.73,3.56,0.16,0.01,4678976,2851082,60.93,100.67
99.96,0.47,99.09,0.19,99.81,4846.91,1.43,0.57,1.43,0.7,1.75,0.7,82.57,0,167.97,1.67,0.07,0,0.08,0.21,65.7,5.07,689.62,3.81,3.62,0.2,0.03,0.04,0.01,0.01,0.02,3.77,3.58,0.18,0.01,5073201,2900948,57.18,100.6
99.96,0.45,99.11,0.18,99.82,4849.42,1.42,0.56,1.43,0.7,1.8,0.7,82.48,0,167.64,1.68,0.07,0,0.08,0.22,65.92,5.09,689.78,3.8,3.59,0.18,0.03,0.04,0.01,0.01,0.02,3.78,3.6,0.18,0.01,4615345,2799541,60.66,100.38
99.96,0.41,99.15,0.16,99.84,4845.8,1.42,0.57,1.43,0.7,1.76,0.7,82.46,0,167.64,1.67,0.08,0,0.08,0.22,65.94,5.04,690.28,3.75,3.54,0.17,0.03,0.04,0.01,0.01,0.02,3.72,3.55,0.16,0.01,4476878,2789602,62.31,100.17
99.96,0.44,99.11,0.17,99.83,4846.3,1.43,0.55,1.43,0.7,1.8,0.7,82.53,0,167.65,1.68,0.08,0,0.08,0.21,65.83,5.02,690.34,3.76,3.54,0.17,0.03,0.03,0,0.01,0.03,3.7,3.53,0.16,0.01,4515494,2819239,62.43,99.86
99.96,0.47,99.1,0.18,99.82,4844.43,1.42,0.56,1.43,0.7,1.78,0.7,82.4,0,167.64,1.68,0.08,0,0.08,0.22,66.23,5.02,690.39,3.72,3.54,0.17,0.03,0.03,0,0.01,0.02,3.71,3.54,0.16,0.01,4448140,2826277,63.54,101.43
99.96,0.42,99.14,0.17,99.83,4843.94,1.42,0.57,1.43,0.7,1.75,0.7,82.42,0,167.64,1.67,0.08,0,0.08,0.21,65.76,5.03,690.45,3.75,3.56,0.17,0.03,0.03,0,0.01,0.02,3.71,3.54,0.16,0.01,4520423,2831069,62.63,101.21
99.96,0.44,99.12,0.18,99.82,4844.97,1.42,0.56,1.43,0.7,1.78,0.7,82.42,0,167.65,1.68,0.07,0,0.08,0.21,65.76,4.99,690.53,3.78,3.52,0.17,0.03,0.04,0.01,0.01,0.03,3.7,3.53,0.16,0.01,4774256,2796683,58.58,100.52
99.96,0.48,99.09,0.19,99.81,4844.96,1.42,0.58,1.43,0.7,1.73,0.7,82.42,0,167.64,1.67,0.08,0,0.08,0.22,65.88,5.01,690.38,3.75,3.54,0.17,0.03,0.04,0,0.01,0.02,3.72,3.55,0.16,0.01,4492020,2774316,61.76,100.46
99.96,0.43,99.13,0.17,99.83,4842.93,1.42,0.58,1.43,0.7,1.74,0.7,82.39,0,167.64,1.67,0.07,0,0.08,0.21,65.81,5.03,690.43,3.77,3.56,0.17,0.03,0.04,0.01,0.01,0.02,3.72,3.55,0.16,0.01,4308278,2738442,63.56,102.14
99.96,0.43,99.13,0.18,99.82,4844.14,1.42,0.58,1.43,0.7,1.71,0.7,82.42,0,167.64,1.67,0.07,0,0.08,0.22,66.09,5.06,690.38,3.78,3.57,0.17,0.03,0.04,0.01,0.01,0.02,3.74,3.57,0.16,0.01,4473789,2768316,61.88,101.72
99.96,0.42,99.14,0.17,99.83,4843.99,1.42,0.57,1.43,0.7,1.76,0.7,82.41,0,167.65,1.67,0.07,0,0.08,0.22,66.11,5.04,690.43,3.74,3.57,0.17,0.03,0.04,0.01,0.01,0.02,3.73,3.56,0.16,0.01,4808018,2813676,58.52,101.36
99.96,0.45,99.11,0.18,99.82,4844.93,1.43,0.57,1.43,0.7,1.76,0.7,82.46,0,167.86,1.68,0.07,0,0.08,0.22,66.15,5.07,689.99,3.81,3.56,0.17,0.03,0.03,0,0.01,0.03,3.71,3.54,0.16,0.01,4532223,2844733,62.77,101.48
99.96,0.45,99.12,0.18,99.82,4846.41,1.42,0.57,1.43,0.7,1.77,0.7,82.44,0,167.64,1.68,0.07,0,0.08,0.22,66.21,5.05,690.49,3.75,3.55,0.17,0.03,0.03,0,0.01,0.02,3.73,3.56,0.16,0.01,4615442,2795202,60.56,101.43
99.96,0.42,99.15,0.17,99.83,4840.7,1.43,0.58,1.43,0.7,1.72,0.7,82.47,0,167.8,1.67,0.07,0,0.08,0.22,66.39,5.09,689.56,3.9,3.6,0.19,0.04,0.05,0.01,0.01,0.03,3.81,3.62,0.18,0.01,4820138,2899662,60.16,101.18
99.96,0.41,99.15,0.17,99.83,4844.09,1.43,0.58,1.44,0.7,1.72,0.7,82.81,0,167.34,1.55,0.07,0,0.08,0.23,69.61,5.39,691,3.92,3.72,0.18,0.04,0.06,0.01,0.01,0.04,3.92,3.74,0.17,0.01,5858107,3656281,62.41,99.72
99.96,0.4,99.16,0.16,99.84,4846.57,1.46,0.57,1.46,0.69,1.76,0.68,84.45,0,166.45,1.21,0.07,0,0.08,0.2,59.77,4.66,691.22,3.29,3.02,0.2,0.07,0.07,0,0.01,0.06,3.22,3.02,0.18,0.01,7942772,5773758,72.69,97.36
99.96,0.3,99.27,0.11,99.89,4849.83,1.55,0.59,1.56,0.64,1.7,0.64,89.92,0,164.05,0.27,0.08,0,0.11,0.03,8.79,0.93,686.76,0.48,0.05,0.28,0.15,0.14,0,0.01,0.13,0.33,0.05,0.26,0.02,14440180,12076154,83.63,95.36
99.96,0.3,99.26,0.12,99.88,4849.87,1.55,0.6,1.55,0.64,1.66,0.64,89.9,0,164.08,0.28,0.08,0,0.1,0.03,8.75,0.92,686.82,0.48,0.06,0.28,0.15,0.14,0,0.01,0.13,0.33,0.05,0.26,0.02,14159757,12064820,85.2,95.84
99.96,0.3,99.26,0.11,99.89,4850.24,1.55,0.59,1.56,0.64,1.69,0.64,89.92,0,164.06,0.27,0.08,0,0.1,0.03,8.78,0.92,686.77,0.48,0.05,0.27,0.15,0.14,0.01,0.01,0.13,0.33,0.05,0.26,0.02,14546619,12195948,83.84,95.68
99.96,0.31,99.25,0.12,99.88,4849.98,1.55,0.59,1.56,0.64,1.7,0.64,89.9,0,164.06,0.27,0.08,0,0.1,0.03,8.86,0.92,686.74,0.48,0.05,0.28,0.15,0.15,0.01,0.01,0.13,0.34,0.05,0.27,0.02,14366042,12117982,84.35,95.53
99.96,0.37,99.2,0.14,99.86,4850.08,1.54,0.58,1.54,0.65,1.73,0.65,89.24,0,164.27,0.37,0.08,0,0.09,0.06,17.75,1.61,688.29,0.94,0.54,0.27,0.14,0.14,0.01,0.01,0.12,0.81,0.53,0.26,0.02,14100885,11669250,82.76,95.95
99.96,0.85,98.71,0.58,99.42,4849.1,1.53,1.04,1.54,0.65,0.97,0.65,88.66,0,164.56,0.54,0.07,0,0.08,0.09,26.94,2.28,689.09,1.43,1.02,0.26,0.14,0.13,0,0.01,0.12,1.29,1.02,0.25,0.02,13563488,11054203,81.5,95.93
